case,scenario,geometry,n,m,d,weights,seed,sweep_value,is_self,overlap_count,overlap_fraction,common_mass,method,repeat,ms,status,iterations
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT/random/L8,0,2.299376,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST/random/L8,0,2.240568,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT/structured/L8,0,2.273056,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST/structured/L8,0,2.046945,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn/eps=0.01,0,152.940653,not_converged,1500
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn/eps=0.001,0,0.490739,ok,1
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST/random/L8,1,2.717466,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT/structured/L8,1,2.080766,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST/structured/L8,1,2.005924,ok,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn/eps=0.01,1,151.938022,not_converged,1500
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn/eps=0.001,1,0.435988,ok,1
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT/random/L8,1,2.257062,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT/random/L8,0,2.767182,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST/random/L8,0,2.066425,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT/structured/L8,0,2.082199,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST/structured/L8,0,1.975087,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,Sinkhorn/eps=0.01,0,28.563084,ok,271
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,Sinkhorn/eps=0.001,0,152.281249,not_converged,1500
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST/random/L8,1,2.350092,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT/structured/L8,1,2.201218,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST/structured/L8,1,2.033455,ok,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,Sinkhorn/eps=0.01,1,28.024372,ok,271
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,Sinkhorn/eps=0.001,1,153.05806,not_converged,1500
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT/random/L8,1,2.416713,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT/random/L8,0,2.338755,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,EST/random/L8,0,2.171323,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT/structured/L8,0,2.045653,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,EST/structured/L8,0,1.997521,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn/eps=0.01,0,25.967642,ok,251
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn/eps=0.001,0,154.350258,not_converged,1500
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,EST/random/L8,1,2.342231,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT/structured/L8,1,2.128458,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,EST/structured/L8,1,1.956529,ok,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn/eps=0.01,1,26.420574,ok,251
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn/eps=0.001,1,155.350536,not_converged,1500
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT/random/L8,1,2.433308,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT/random/L8,0,2.949363,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST/random/L8,0,2.348858,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT/structured/L8,0,2.397782,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST/structured/L8,0,2.080023,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn/eps=0.01,0,36.285537,ok,221
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn/eps=0.001,0,229.749266,not_converged,1500
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST/random/L8,1,2.484753,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT/structured/L8,1,2.610933,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST/structured/L8,1,2.5496,ok,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn/eps=0.01,1,36.826052,ok,221
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn/eps=0.001,1,252.441579,not_converged,1500
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT/random/L8,1,2.803403,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,LMOT/random/L8,0,2.682424,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,EST/random/L8,0,2.541742,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,LMOT/structured/L8,0,2.375792,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,EST/structured/L8,0,2.13597,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,Sinkhorn/eps=0.01,0,31.401738,ok,201
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,Sinkhorn/eps=0.001,0,236.591793,not_converged,1500
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,EST/random/L8,1,2.904069,ok,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,LMOT/structured/L8,1,2.547681,ok,
