case,scenario,geometry,n,m,d,weights,seed,sweep_value,is_self,overlap_count,overlap_fraction,common_mass,method,projection_kind,L,epsilon,collision_mass,collision_fraction,largest_fiber,method_id,median_ms,q25_ms,q75_ms,cost,row_l1,col_l1,row_relative,feasible,retained_mass,retention_ratio,exact_cost,absolute_gap,relative_gap,self_cost,self_map_error,status,peak_traced_mib,iterations,backend
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT,random,8,,0.0,0.0,1,LMOT/random/L8,2.278219,2.2676404999999997,2.2887975000000003,0.0,1.8821749714348357e-16,1.8821749714348357e-16,2.3602762491464675e-15,True,1.0,1.0,0.0,0.0,,0.0,1.3653937842860002e-15,ok,0.019074440002441406,,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST,random,8,,0.0,0.0,1,EST/random/L8,2.479017,2.3597925,2.5982415,0.0,1.8821749714348357e-16,1.8821749714348357e-16,2.3602762491464675e-15,True,1.0,1.0,0.0,0.0,,0.0,1.3653937842860002e-15,ok,0.01700305938720703,,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,LMOT,structured,8,,0.6556682029360099,0.6953125,6,LMOT/structured/L8,2.176911,2.1288385,2.2249835,0.0,1.1622647289044608e-16,1.1622647289044608e-16,4.255686220197922e-16,True,1.0,1.0,0.0,0.0,,0.0,2.830524433501838e-16,ok,0.01863384246826172,,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,EST,structured,8,,0.6556682029360099,0.6953125,6,EST/structured/L8,2.0264344999999997,2.01617925,2.03668975,0.06118710270827304,1.448494102440634e-16,1.3097162243624894e-16,4.255686220197922e-16,True,0.6428320219881806,0.6428320219881806,0.0,0.06118710270827304,,0.06118710270827304,0.16728293443045436,ok,0.016592025756835938,,
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn,none,0,0.01,,,,Sinkhorn/eps=0.01,152.4393375,152.18867975,152.68999524999998,0.004258557174652365,1.7780915628762273e-16,4.0167193268107054e-07,5.070984892688415e-16,False,0.8058757664604432,0.8058757664604432,0.0,,,0.004258557174652365,0.062150848960599046,not_converged,0.02797412872314453,1500,pot
n16_d2_nonuniform_s0_v1,support,grid,16,16,2,nonuniform,0,1.0,True,16,1.0,1.0,Sinkhorn,none,0,0.001,,,,Sinkhorn/eps=0.001,0.4633635,0.44967575,0.47705125,7.575783183580557e-11,1.465841337200402e-16,1.5560766928462977e-09,2.665535641820788e-16,True,0.9999999962121084,0.9999999962121084,0.0,7.575783183580557e-11,,7.575783183580557e-11,5.1438840350860244e-09,ok,0.022218704223632812,1,pot
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT,random,8,,0.0,0.0,1,LMOT/random/L8,2.5919475,2.50433025,2.67956475,0.10941316469788727,1.8821749714348357e-16,2.8536201179818477e-16,2.3602762491464675e-15,True,0.09259349176243925,0.22510049024350073,0.036684939100101434,0.07272822559778583,1.982509099969713,,,ok,0.01915264129638672,,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST,random,8,,0.0,0.0,1,EST/random/L8,2.2082585000000003,2.13734175,2.27917525,0.10941316469788727,1.8821749714348357e-16,2.8536201179818477e-16,2.3602762491464675e-15,True,0.09259349176243925,0.22510049024350073,0.036684939100101434,0.07272822559778583,1.982509099969713,,,ok,0.018430709838867188,,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,LMOT,structured,8,,0.727654936811488,0.74609375,6,LMOT/structured/L8,2.1417085,2.11195375,2.17146325,0.11268976405828586,1.3097162243624894e-16,1.7954387976359953e-16,4.255686220197922e-16,True,0.11447660157404785,0.278299680088112,0.036684939100101434,0.07600482495818442,2.0718263904102887,,,ok,0.01812267303466797,,
n16_d2_nonuniform_s0_v0.5,support,grid,16,16,2,nonuniform,0,0.5,False,8,0.5,0.41134291472345064,EST,structured,8,,0.727654936811488,0.74609375,6,EST/structured/L8,2.004271,1.989679,2.018863,0.11577086071470788,1.3097162243624894e-16,1.7954387976359953e-16,4.255686220197922e-16,True,0.07866714036713547,0.19124467093355446,0.036684939100101434,0.07908592161460645,2.155814444690949,,,ok,0.017434120178222656,,
